"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"70","1","file:/data/e223_qdb-TEI-02.xml","/data/e223_qdb-TEI-02.xml","e223_qdb-TEI-02.xml","Signature","Done","4629062","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"71","1","file:/data/e224_qdb-TEI-02.xml","/data/e224_qdb-TEI-02.xml","e224_qdb-TEI-02.xml","Signature","Done","6543808","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"72","1","file:/data/e225_qdb-TEI-02.xml","/data/e225_qdb-TEI-02.xml","e225_qdb-TEI-02.xml","Signature","Done","8119682","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"73","1","file:/data/e226_qdb-TEI-02.xml","/data/e226_qdb-TEI-02.xml","e226_qdb-TEI-02.xml","Signature","Done","3733449","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"74","1","file:/data/f230_qdb-TEI-02.xml","/data/f230_qdb-TEI-02.xml","f230_qdb-TEI-02.xml","Signature","Done","8408379","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"75","1","file:/data/f227_qdb-TEI-02.xml","/data/f227_qdb-TEI-02.xml","f227_qdb-TEI-02.xml","Signature","Done","161305","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"76","1","file:/data/e227_qdb-TEI-02.xml","/data/e227_qdb-TEI-02.xml","e227_qdb-TEI-02.xml","Signature","Done","2714782","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"77","1","file:/data/f229_qdb-TEI-02.xml","/data/f229_qdb-TEI-02.xml","f229_qdb-TEI-02.xml","Signature","Done","6496822","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"78","1","file:/data/f228_qdb-TEI-02.xml","/data/f228_qdb-TEI-02.xml","f228_qdb-TEI-02.xml","Signature","Done","4986904","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"79","1","file:/data/f231_qdb-TEI-02.xml","/data/f231_qdb-TEI-02.xml","f231_qdb-TEI-02.xml","Signature","Done","10643568","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
